Posted On,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact,property_id,temperature,humidity,description,feels_like,Rent_per_Sqft,Log_Rent,Is_Furnished,Monthly_Rental_Income,Est_Property_Value,Rent_Yield_Estimate,City_Median_Rent_Sqft,Investment_Label,Locality_Desirability_Score,City_Encoded
2022-05-18,2,10000,1100,Ground out of 2,Super Area,Bandel,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,1,31.01,71,overcast clouds,37.93,9.090909090909092,9.210440366976517,0,10000,6600000,1.8181818181818181,13.315602836879432,0,2.0,0
2022-05-13,2,14500,900,1 out of 4,Carpet Area,"Panchanan Tola, Thakurpukur",Kolkata,Unfurnished,Bachelors,2,Contact Owner,2,31.01,71,overcast clouds,37.93,16.11111111111111,9.581972891547895,0,14500,5400000,3.2222222222222223,13.315602836879432,1,7.0,0
2022-04-23,2,15000,1000,Ground out of 2,Super Area,Bansdroni,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,3,31.01,71,overcast clouds,37.93,15.0,9.61587214452889,0,15000,6000000,3.0,13.315602836879432,1,7.0,0
2022-06-13,2,15000,723,Ground out of 3,Carpet Area,Narendrapur,Kolkata,Furnished,Family,1,Contact Owner,4,31.01,71,overcast clouds,37.93,20.74688796680498,9.61587214452889,1,15000,4338000,4.149377593360995,13.315602836879432,1,9.0,0
2022-05-13,2,20000,800,1 out of 3,Super Area,"Phool Bagan, Kankurgachi",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,5,31.01,71,overcast clouds,37.93,25.0,9.90353755128617,1,20000,4800000,5.0,13.315602836879432,1,9.0,0
2022-05-16,2,17000,1000,1 out of 3,Super Area,Salt Lake City Sector 2,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,6,31.01,71,overcast clouds,37.93,17.0,9.741027444837728,1,17000,6000000,3.4000000000000004,13.315602836879432,1,7.0,0
2022-07-04,2,10000,800,1 out of 2,Super Area,Dumdum Park,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,7,31.01,71,overcast clouds,37.93,12.5,9.210440366976517,0,10000,4800000,2.5,13.315602836879432,0,5.0,0
2022-05-09,2,7500,850,1 out of 2,Carpet Area,South Dum Dum,Kolkata,Unfurnished,Bachelors,1,Contact Owner,8,31.01,71,overcast clouds,37.93,8.823529411764707,8.922791623969637,0,7500,5100000,1.7647058823529411,13.315602836879432,0,2.0,0
2022-04-29,2,7000,600,Ground out of 1,Super Area,Thakurpukur,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,9,31.01,71,overcast clouds,37.93,11.666666666666666,8.853808274977197,0,7000,3600000,2.3333333333333335,13.315602836879432,0,4.0,0
2022-06-21,2,10000,700,Ground out of 4,Super Area,Malancha,Kolkata,Unfurnished,Bachelors,2,Contact Agent,10,31.01,71,overcast clouds,37.93,14.285714285714286,9.210440366976517,0,10000,4200000,2.857142857142857,13.315602836879432,1,6.0,0
